"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-20",,"77","87","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-21",,"80","88","70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-22","1.22","74","86",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-23",,"77","85","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-24","0.14","72","78",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-25",,"73","80","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-26",,"76","87","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-27",,"76","85","68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-28",,"77","85","69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-29",,"78","86","70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-06-30","0.01","76","80","73"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-01","3.52","74","80",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-02","0.94","74","82","69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-03",,"74","80",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-04",,"72","75",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-05","4.69","73","77","68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-06","0.02","73","80",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-07","0.00","76","83","68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-08",,"82","90","70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-09",,"82","91","74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-10",,"83","92","74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-11",,"82","92",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-12","0.12","80","88","72"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-13","0.00","80","85","74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-14","0.00","81","90",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-15","0.00","78","85",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-16","1.73","69","75","68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-17","0.24","71","74","69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-18","0.01","76","83","69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-19",,"82","90","70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-20",,"84","91","75"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-21",,"83","90","77"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-22",,"85","93","78"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-23","0.02","83","89",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-24","0.02","82","86",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-25",,"83","89",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-26",,"83","89","78"
