Year,Date,Season,Class,NDVI,NDWI,NDBI,VV,VH,VH_VV_Ratio,LST,LST_Difference,Valid_S2_Pixel_Count,Valid_LST_Pixel_Count
2019,2019-02-17,Winter,Water,-0.6837143931801009,0.8634891399154742,0.2705514444021991,-18.87782286922868,-24.377158235411205,-5.499335366182525,4.204257577772506,-4.264355228940446,2792,3567
2019,2019-02-22,Winter,Dense Urban,0.103444260416259,-0.0996058826066079,0.0526897470105811,-3.3813948276799586,-10.872318205309304,-7.490923377629345,8.717513182824103,0.2489003761111501,7250,9120
2019,2019-02-22,Winter,Nature,0.1933325146795816,-0.2989537092331292,0.0292483651199205,-10.130974919968246,-16.372805025161355,-6.2418301051931095,8.593050069177913,0.1244372624649603,10692,13533
2019,2019-02-22,Winter,Roads,0.0878777946918102,-0.1229264978069403,0.0098099288561863,-7.624722328110103,-14.633043952956331,-7.008321624846229,8.907880821180708,0.4392680144677552,16482,20828
2019,2019-02-22,Winter,Urban,0.1152742447413503,-0.1388216893112316,-0.0098039129239083,-5.874319531582174,-12.3777497049022,-6.503430173320027,7.9700810293936195,-0.4985317773193332,10353,13071
2019,2019-02-22,Winter,Water,-0.1572515116812083,0.2285094098942652,-0.1494066367436435,-18.93590323857525,-24.10875471417757,-5.172851475602322,4.204257577772506,-4.264355228940446,2739,3567
2019,2019-05-23,Spring,Dense Urban,0.1521494565110465,-0.1600222201820357,0.1034641362840245,-3.1295740790202093,-10.872134245387915,-7.742560166367706,32.06511907950768,2.251557081747197,7250,9106
2019,2019-05-23,Spring,Nature,0.5195809831324585,-0.4960939681409199,-0.135112323928552,-10.373980954352602,-16.616979958007338,-6.242999003654736,27.56380601060109,-2.249755987159393,10692,13496
2019,2019-05-23,Spring,Roads,0.1366986150214344,-0.1835463985307412,0.0371084839781789,-7.628005090669295,-14.7469380782357,-7.118932987566406,30.564814751379224,0.7512527536187399,16482,20777
2019,2019-05-23,Spring,Urban,0.2772718666193221,-0.2851464875142585,-0.050545687720244,-6.126717576764189,-12.621926167162954,-6.495208590398765,29.685221377132446,-0.1283406206280375,10353,13033
2019,2019-05-23,Spring,Water,-0.3300872095560355,0.4100528880661854,-0.3552365402820866,-17.876520918260066,-24.627694601397437,-6.75117368313737,20.349021472301697,-9.464540525458789,2797,3540
2019,2019-06-12,Summer,Dense Urban,0.1365855464508961,-0.1270523156866524,0.0958220966538444,-3.3713913656811987,-11.125340130164842,-7.753948764483644,39.06216091132581,1.4992018350705365,4279,9089
2019,2019-06-12,Summer,Nature,0.4959811894047938,-0.4335866462971512,-0.1386921898807784,-10.117702681051007,-16.371134362932434,-6.253431681881427,35.06524534639465,-2.497713729860628,6002,13532
2019,2019-06-12,Summer,Roads,0.1290241133900253,-0.1524931395811155,0.0449233309611462,-7.870858046770582,-14.879764018450974,-7.008905971680392,38.68862528631739,1.1256662100621142,11425,20814
2019,2019-06-12,Summer,Urban,0.2461465970091854,-0.2382068685374908,-0.0293130149388889,-6.118830958425748,-12.625556878072905,-6.506725919647157,37.06112622190534,-0.5018328543499351,7270,13073
2019,2019-06-12,Summer,Water,-0.1307752207286752,0.2634293134182473,-0.1972582308702335,-18.37368221228566,-24.374373373083426,-6.000691160797764,25.186395394038428,-12.376563682216847,2625,3515
2019,2019-06-17,Summer,Dense Urban,0.1445508502498329,-0.1364918549332749,0.0995190333948284,-3.3713913656811987,-11.125340130164842,-7.753948764483644,39.06216091132581,1.4992018350705365,4657,9089
2019,2019-06-17,Summer,Nature,0.5037084845635935,-0.4649122960215767,-0.1111977235676921,-10.117702681051007,-16.371134362932434,-6.253431681881427,35.06524534639465,-2.497713729860628,8569,13532
2019,2019-06-17,Summer,Roads,0.1445249939178285,-0.1678402094211285,0.0352669293692488,-7.870858046770582,-14.879764018450974,-7.008905971680392,38.68862528631739,1.1256662100621142,13431,20814
2019,2019-06-17,Summer,Urban,0.2616149679146513,-0.2538775875684025,-0.0331746478732531,-6.118830958425748,-12.625556878072905,-6.506725919647157,37.06112622190534,-0.5018328543499351,6798,13073
2019,2019-06-17,Summer,Water,-0.2287610411009181,0.3691165886039287,-0.1738065070692254,-18.37368221228566,-24.374373373083426,-6.000691160797764,25.186395394038428,-12.376563682216847,1433,3515
2019,2019-08-11,Summer,Dense Urban,0.1687580331127479,-0.1524962513353013,0.074273573328599,-3.1320732409649232,-10.876568739750896,-7.744495498785973,35.59686140000003,2.064805969171111,3163,1286
2019,2019-08-11,Summer,Roads,0.168251985068964,-0.1758569241914599,0.0195799106854188,-7.125107805544828,-14.12349485009853,-6.998387044553701,34.78011738285716,1.2480619520282443,14175,2212
2019,2019-08-11,Summer,Urban,0.3245692914307735,-0.308333373945344,-0.0605722980918733,-5.624108167265959,-12.378655478775707,-6.754547311509748,34.27580855876523,0.7437531279363085,8299,1807
2019,2019-08-11,Summer,Water,-0.2304098434511085,0.3398986708101014,-0.0664319726615064,-19.310605951932786,-24.12629927007027,-4.815693318137484,28.096705728419728,-5.435349702409191,2740,853
2019,2019-08-16,Summer,Dense Urban,0.1444076724482104,-0.1211383645769952,0.1154060237154032,-3.1320732409649232,-10.876568739750896,-7.744495498785973,35.59686140000003,2.064805969171111,2497,1286
2019,2019-08-16,Summer,Roads,0.1441733506741226,-0.1523564042983924,0.0429285558355435,-7.125107805544828,-14.12349485009853,-6.998387044553701,34.78011738285716,1.2480619520282443,10398,2212
